name,category,date,amount_liters,created_at
Branco,VINHO FINO DE MESA (VINIFERA),1974-12-21,18.927.471,2025-01-04 06:03:09.730046
Rosado,VINHO FINO DE MESA (VINIFERA),1974-12-21,2.668.995,2025-01-04 06:03:09.756291
SUCO,SUCO,1974-12-21,-,2025-01-04 06:03:09.789947
Suco de uva integral,SUCO,1974-12-21,-,2025-01-04 06:03:09.817777
Suco de uva concentrado,SUCO,1974-12-21,-,2025-01-04 06:03:09.849346
Suco de uva adoçado,SUCO,1974-12-21,-,2025-01-04 06:03:09.880246
Suco de uva orgânico,SUCO,1974-12-21,-,2025-01-04 06:03:09.909152
Suco de uva reconstituído,SUCO,1974-12-21,-,2025-01-04 06:03:09.938381
DERIVADOS,DERIVADOS,1974-12-21,47.904.934,2025-01-04 06:03:09.978138
Espumante,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.013256
Espumante moscatel,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.059704
Base espumante,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.102325
Base espumante moscatel,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.142734
Base Champenoise champanha,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.187091
Base Charmat champanha,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.231388
Bebida de uva,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.275453
Polpa de uva,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.318442
Mosto simples,DERIVADOS,1974-12-21,41.346.735,2025-01-04 06:03:10.358285
Mosto concentrado,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.395659
Mosto de uva com bagaço,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.423225
Mosto dessulfitado,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.451865
Mistelas,DERIVADOS,1974-12-21,826.300,2025-01-04 06:03:10.481712
Néctar de uva,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.510452
Licorosos,DERIVADOS,1974-12-21,135.000,2025-01-04 06:03:10.541086
Compostos,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.572561
Jeropiga,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.606632
Filtrado,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.718646
Frisante,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.749493
Vinho leve,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.783162
Vinho licoroso,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.810972
Brandy,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.838509
Destilado,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.867734
Bagaceira,DERIVADOS,1974-12-21,424.620,2025-01-04 06:03:10.895101
Licor de bagaceira,DERIVADOS,1974-12-21,-,2025-01-04 06:03:10.923288
Vinagre,DERIVADOS,1974-12-21,35.300,2025-01-04 06:03:10.951433
